Name,Region,Region:Regional Alentejo,Region:DOC Douro,Region:DOC Alentejo,Region:Regional Península de Setúbal,Region:Espanha,Year,Color,Color:Red,Color:White,Color:Rosé,Castes,AlcoholPercentage,Producer,Producer:Esporão S.A.,"Producer:José Maria da Fonseca Vinhos, S.A.","Producer:João Portugal Ramos - Vinhos, SA",Producer:Ramos Pinto,MinimunPrice,MaximumPrice,Average Price,Average Price in Dollars,Judge,Judge:Domingos Soares Franco,Judge:João Portugal Ramos,Judge:João Nicolau de Almeida,Judge:David Baverstock e Sandra Alves,Judge:David Baverstock e Luís Patrão,JudgeRating
Domini 2012,DOC Douro,0,1,0,0,0,2012,Red,1,0,0,"Touriga Nacional, Tinta Roriz e Touriga Franca",13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,15.5
Duas Quintas 2004,DOC Douro,0,1,0,0,0,2004,Red,1,0,0,"Tinta Roriz, Touriga Nacional e Touriga Franca",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2005,DOC Douro,0,1,0,0,0,2005,Red,1,0,0,"Tinta Roriz, Touriga Nacional e Touriga Franca",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2006,DOC Douro,0,1,0,0,0,2006,White,0,1,0,"Viozinho, Rabigato e Arinto",13.5,Ramos Pinto,0,0,0,1,4,7.5,5.75,6.7275,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2008,DOC Douro,0,1,0,0,0,2008,Red,1,0,0,"Tinta Roriz, Touriga Nacional e Touriga Franca",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2009,DOC Douro,0,1,0,0,0,2009,White,0,1,0,"Viosinho, Rabigato e Arinto",14,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2010,DOC Douro,0,1,0,0,0,2010,White,0,1,0,"Viosinho, Rabigato e Arinto",13,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2010,DOC Douro,0,1,0,0,0,2010,Red,1,0,0,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta da Barca, Tinta Barroca, Sousão, Tinto Cão e Tinta Amarela",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Duas Quintas 2012,DOC Douro,0,1,0,0,0,2012,White,0,1,0,"Viosinho, Rabigato e Arinto",13.5,Ramos Pinto,0,0,0,1,7.5,10,8.75,10.2375,João Nicolau de Almeida,0,0,1,0,0,15.5
Esporão 2 Castas 2012,Regional Alentejo,1,0,0,0,0,2012,White,0,1,0,Arinto e Roupeiro,14,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,15.5
Esporão 2 Castas 2013,Regional Alentejo,1,0,0,0,0,2013,White,0,1,0,Gouveio e Antão Vaz,13.5,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,15.5
Esporão 4 Castas 2013,Regional Alentejo,1,0,0,0,0,2013,Red,1,0,0,"Aragonez, Alicante Bouschet, Tinta Miúda e Touriga Nacional",14.5,Esporão S.A.,1,0,0,0,10,12.5,11.25,13.1625,David Baverstock e Luís Patrão,0,0,0,0,1,15.5
Esporão Verdelho 2011,Regional Alentejo,1,0,0,0,0,2011,White,0,1,0,Verdelho,13.5,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,15.5
Esporão Verdelho 2012,Regional Alentejo,1,0,0,0,0,2012,White,0,1,0,Verdelho,14,Esporão S.A.,1,0,0,0,7.5,10,8.75,10.2375,David Baverstock e Sandra Alves,0,0,0,1,0,15.5
Herdade do Esporão Late Harvest Semillon 2015,Regional Alentejo,1,0,0,0,0,2015,White,0,1,0,Semillon,14,Esporão S.A.,1,0,0,0,10,12.5,11.25,13.1625,David Baverstock e Sandra Alves,0,0,0,1,0,15.5
João Portugal Ramos Aragonês 2004,Regional Alentejo,1,0,0,0,0,2004,Red,1,0,0,Aragonês,14,"João Portugal Ramos - Vinhos, SA",0,0,1,0,7.5,10,8.75,10.2375,João Portugal Ramos,0,1,0,0,0,15.5
José de Sousa 2004,Regional Alentejo,1,0,0,0,0,2004,Red,1,0,0,"Trincadeira, Grand Noir e Aragonez",13.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,7.5,10,8.75,10.2375,Domingos Soares Franco,1,0,0,0,0,15.5
José de Sousa 2010,Regional Alentejo,1,0,0,0,0,2010,Red,1,0,0,"Trincadeira, Grand Noir e Aragonez",13.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,7.5,10,8.75,10.2375,Domingos Soares Franco,1,0,0,0,0,15.5
José de Sousa 2011,Regional Alentejo,1,0,0,0,0,2011,Red,1,0,0,"Grand Noir, Trincadeira e Aragonez",13.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,7.5,10,8.75,10.2375,Domingos Soares Franco,1,0,0,0,0,15.5
